iter	Passed	Remaining
295	934	2221
296	938	2220
297	941	2218
298	945	2216
299	949	2215
300	952	2212
301	957	2213
302	962	2214
303	968	2216
304	973	2217
305	978	2219
306	984	2221
307	988	2221
308	993	2222
309	999	2223
310	1004	2225
311	1009	2225
312	1014	2227
313	1019	2228
314	1025	2229
315	1032	2234
316	1035	2230
317	1037	2225
318	1040	2222
319	1043	2217
320	1046	2213
321	1049	2209
322	1051	2204
323	1054	2200
324	1057	2196
325	1060	2192
326	1063	2189
327	1067	2186
328	1069	2180
329	1072	2176
330	1075	2173
331	1078	2169
332	1081	2165
333	1083	2160
334	1086	2156
335	1090	2154
336	1093	2151
337	1096	2148
338	1099	2143
339	1101	2139
340	1105	2135
341	1107	2130
342	1110	2126
343	1112	2122
344	1115	2117
345	1118	2113
346	1120	2109
347	1123	2105
348	1126	2101
349	1128	2096
350	1131	2092
351	1134	2088
352	1137	2084
353	1139	2079
354	1142	2075
355	1144	2071
356	1147	2067
357	1150	2063
358	1153	2059
359	1156	2055
360	1158	2051
361	1161	2046
362	1163	2042
363	1167	2039
364	1171	2037
365	1174	2035
366	1177	2030
367	1180	2026
368	1182	2022
369	1185	2018
370	1187	2014
371	1190	2010
372	1193	2006
373	1196	2003
374	1199	1999
375	1202	1995
376	1205	1991
377	1208	1988
378	1211	1985
379	1214	1980
380	1216	1976
381	1219	1972
382	1221	1968
383	1224	1964
384	1227	1960
385	1229	1956
386	1232	1952
387	1235	1948
388	1238	1944
389	1242	1943
390	1245	1939
391	1247	1935
392	1250	1931
393	1253	1927
394	1256	1924
395	1259	1920
396	1261	1916
397	1264	1912
398	1267	1908
399	1269	1904
400	1272	1901
401	1275	1897
402	1277	1893
403	1280	1888
404	1283	1885
405	1286	1882
406	1289	1878
407	1292	1874
408	1294	1870
409	1297	1866
410	1299	1862
411	1304	1861
412	1307	1858
413	1310	1854
414	1312	1850
415	1315	1846
416	1318	1843
417	1320	1839
418	1323	1835
419	1326	1831
420	1328	1827
421	1331	1824
422	1334	1820
423	1337	1816
424	1340	1813
425	1342	1809
426	1345	1805
427	1348	1801
428	1350	1797
429	1353	1794
430	1356	1790
431	1358	1786
432	1361	1782
433	1364	1779
434	1366	1775
435	1369	1771
436	1372	1767
437	1374	1764
438	1377	1760
439	1380	1756
440	1383	1753
441	1385	1749
442	1388	1745
443	1390	1741
444	1393	1738
445	1396	1734
446	1400	1732
447	1403	1729
448	1406	1725
449	1409	1722
450	1411	1718
451	1415	1715
452	1418	1712
453	1421	1709
454	1426	1709
455	1431	1707
456	1435	1705
457	1439	1703
458	1443	1701
459	1446	1698
460	1450	1695
461	1454	1693
462	1457	1690
463	1460	1686
464	1463	1683
465	1466	1680
466	1468	1676
467	1471	1672
468	1474	1669
469	1476	1665
470	1479	1661
471	1482	1658
472	1485	1654
473	1488	1651
474	1490	1647
475	1493	1644
476	1496	1640
477	1499	1637
478	1502	1634
479	1507	1632
480	1513	1632
481	1516	1629
482	1519	1626
483	1523	1624
484	1528	1622
485	1531	1620
486	1535	1617
487	1538	1614
488	1542	1611
489	1545	1608
490	1548	1605
491	1552	1602
492	1555	1599
493	1571	1610
494	1579	1611
495	1582	1608
496	1586	1605
497	1589	1602
498	1593	1599
499	1596	1596
500	1599	1593
501	1602	1589
502	1605	1586
503	1607	1582
504	1610	1578
505	1612	1574
506	1615	1571
507	1619	1568
508	1621	1564
509	1624	1561
510	1627	1557
511	1629	1553
512	1633	1550
513	1635	1546
514	1638	1543
515	1640	1539
516	1643	1535
517	1646	1532
518	1649	1528
519	1652	1525
520	1655	1522
521	1658	1518
522	1660	1514
523	1663	1511
524	1666	1507
525	1669	1504
526	1671	1500
527	1674	1496
528	1676	1492
529	1679	1489
530	1682	1486
531	1685	1482
532	1688	1479
533	1690	1475
534	1694	1472
535	1697	1469
536	1700	1466
537	1703	1462
538	1705	1458
539	1708	1455
540	1711	1451
541	1713	1448
542	1716	1444
543	1718	1440
544	1723	1438
545	1726	1435
546	1728	1431
547	1731	1428
548	1734	1424
549	1737	1421
550	1741	1418
551	1743	1415
552	1746	1411
553	1749	1408
554	1752	1404
555	1754	1401
556	1757	1397
557	1760	1394
558	1762	1390
559	1765	1386
560	1768	1383
561	1771	1380
562	1773	1376
563	1776	1373
564	1778	1369
565	1781	1366
566	1785	1363
567	1787	1359
568	1790	1356
569	1793	1352
570	1795	1349
571	1798	1345
572	1801	1342
573	1804	1338
574	1806	1335
575	1808	1331
576	1811	1328
577	1814	1324
578	1817	1321
579	1820	1318
580	1822	1314
581	1825	1311
582	1828	1307
583	1831	1304
584	1834	1301
585	1837	1298
586	1839	1294
587	1842	1290
588	1845	1287
589	1848	1284
590	1850	1280
591	1853	1277
592	1856	1274
593	1859	1270
594	1861	1267
595	1865	1264
596	1867	1260
597	1869	1257
598	1872	1253
599	1875	1250
600	1877	1246
601	1881	1243
602	1884	1240
603	1887	1237
604	1890	1234
605	1892	1230
606	1895	1227
607	1899	1224
608	1901	1221
609	1904	1217
610	1906	1214
611	1910	1210
612	1913	1207
613	1915	1204
614	1918	1200
615	1920	1197
616	1923	1194
617	1926	1190
618	1928	1187
619	1931	1183
620	1933	1180
621	1937	1177
622	1941	1174
623	1944	1171
624	1947	1168
625	1950	1165
626	1953	1162
627	1956	1158
628	1958	1155
629	1961	1152
630	1964	1148
631	1966	1145
632	1969	1141
633	1972	1138
634	1974	1134
635	1977	1131
636	1979	1128
637	1982	1125
638	1985	1121
639	1988	1118
640	1991	1115
641	1994	1111
642	1997	1109
643	1999	1105
644	2002	1102
645	2004	1098
646	2007	1095
647	2010	1092
648	2013	1089
649	2017	1086
650	2020	1083
651	2024	1080
652	2027	1077
653	2030	1074
654	2033	1071
655	2037	1068
656	2041	1065
657	2045	1063
658	2048	1059
659	2051	1056
660	2055	1054
661	2061	1052
662	2065	1049
663	2068	1046
664	2074	1045
665	2078	1042
666	2082	1039
667	2085	1036
668	2089	1033
669	2092	1030
670	2094	1026
671	2097	1023
672	2099	1020
673	2102	1017
674	2105	1013
675	2108	1010
676	2111	1007
677	2113	1003
678	2116	1000
679	2118	996
680	2121	993
681	2124	990
682	2126	986
683	2129	983
684	2132	980
685	2134	977
686	2137	973
687	2140	970
688	2143	967
689	2145	963
690	2148	960
691	2151	957
692	2154	954
693	2157	951
694	2160	947
695	2163	944
696	2165	941
697	2168	938
698	2171	934
699	2173	931
700	2177	928
701	2180	925
702	2182	922
703	2185	918
704	2187	915
705	2190	912
706	2193	909
707	2196	905
708	2199	902
709	2202	899
710	2204	896
711	2207	893
712	2210	889
713	2213	886
714	2215	883
715	2218	880
716	2222	877
717	2224	873
718	2227	870
719	2230	867
720	2233	864
721	2236	861
722	2239	857
723	2242	854
724	2244	851
725	2247	848
726	2250	844
727	2252	841
728	2255	838
729	2258	835
730	2260	832
731	2263	828
732	2267	826
733	2270	822
734	2272	819
735	2275	816
736	2278	812
737	2281	809
738	2283	806
739	2286	803
740	2289	800
741	2291	796
742	2294	793
743	2298	790
744	2300	787
745	2303	784
746	2306	781
747	2308	777
748	2311	774
749	2314	771
750	2317	768
751	2320	765
752	2322	761
753	2325	758
754	2329	755
755	2332	752
756	2335	749
757	2338	746
758	2341	743
759	2344	740
760	2346	737
761	2349	733
762	2352	730
763	2354	727
764	2358	724
765	2360	721
766	2364	718
767	2366	714
768	2369	711
769	2372	708
770	2376	705
771	2379	702
772	2382	699
773	2385	696
774	2388	693
775	2390	690
776	2394	687
777	2397	684
778	2399	680
779	2402	677
780	2405	674
781	2407	671
782	2410	668
783	2413	664
784	2416	661
785	2419	658
786	2422	655
787	2426	652
788	2429	649
789	2433	646
790	2436	643
791	2440	640
792	2444	638
793	2447	635
794	2450	631
795	2454	628
796	2457	625
797	2459	622
798	2463	619
799	2466	616
800	2468	613
801	2471	610
802	2476	607
803	2479	604
804	2482	601
805	2484	598
806	2487	594
807	2490	591
808	2493	588
809	2495	585
810	2498	582
811	2501	579
812	2503	575
813	2506	572
814	2509	569
815	2511	566
816	2514	563
817	2517	560
818	2520	556
819	2523	553
820	2525	550
821	2528	547
822	2531	544
823	2533	541
824	2536	537
825	2539	534
826	2542	531
827	2544	528
828	2547	525
829	2549	522
830	2552	519
831	2558	516
832	2561	513
833	2564	510
834	2568	507
835	2573	504
836	2576	501
837	2580	498
838	2583	495
839	2588	492
840	2591	489
841	2594	486
842	2598	483
843	2601	480
844	2605	477
845	2610	475
846	2613	472
847	2617	469
848	2621	466
849	2624	463
850	2629	460
851	2633	457
852	2636	454
853	2638	451
854	2641	447
855	2644	444
856	2646	441
857	2649	438
858	2652	435
859	2654	432
860	2657	429
861	2660	425
862	2663	422
863	2666	419
864	2668	416
865	2671	413
866	2674	410
867	2677	407
868	2679	403
869	2682	400
870	2686	397
871	2688	394
872	2691	391
873	2694	388
874	2696	385
875	2699	382
876	2701	378
877	2705	375
878	2709	372
879	2712	369
880	2715	366
881	2719	363
882	2722	360
883	2724	357
884	2727	354
885	2730	351
886	2734	348
887	2736	345
888	2739	342
889	2741	338
890	2744	335
891	2747	332
892	2750	329
893	2752	326
894	2755	323
895	2757	320
896	2760	317
897	2763	313
898	2766	310
899	2768	307
900	2771	304
901	2774	301
902	2777	298
903	2780	295
904	2783	292
905	2785	289
906	2788	285
907	2791	282
908	2795	279
909	2798	276
910	2800	273
911	2803	270
912	2805	267
913	2808	264
914	2811	261
915	2814	258
916	2816	254
917	2819	251
918	2821	248
919	2824	245
920	2827	242
921	2830	239
922	2833	236
923	2835	233
924	2838	230
925	2841	227
926	2844	223
927	2847	220
928	2849	217
929	2852	214
930	2855	211
931	2858	208
932	2860	205
933	2863	202
934	2865	199
935	2868	196
936	2871	193
937	2874	189
938	2878	187
939	2881	183
940	2883	180
941	2887	177
942	2890	174
943	2893	171
944	2896	168
945	2899	165
946	2901	162
947	2904	159
948	2907	156
949	2910	153
950	2912	150
951	2915	147
952	2918	143
953	2920	140
954	2923	137
955	2926	134
956	2929	131
957	2932	128
958	2935	125
959	2937	122
960	2940	119
961	2942	116
962	2946	113
963	2949	110
964	2951	107
965	2954	103
966	2957	100
967	2960	97
968	2963	94
969	2966	91
970	2968	88
971	2971	85
972	2974	82
973	2977	79
974	2980	76
975	2982	73
976	2985	70
977	2988	67
978	2991	64
979	2993	61
980	2996	58
981	2999	54
982	3002	51
983	3006	48
984	3009	45
985	3013	42
986	3017	39
987	3020	36
988	3024	33
989	3027	30
990	3031	27
991	3037	24
992	3040	21
993	3044	18
994	3049	15
995	3054	12
996	3057	9
997	3060	6
998	3063	3
999	3066	0
