iter	RMSE
191	1.141509508
192	1.138918006
193	1.130225864
194	1.121589804
195	1.111783906
196	1.10898671
197	1.100048737
198	1.094914611
199	1.08641849
200	1.077125891
201	1.075062178
202	1.065589125
203	1.056954286
204	1.050748159
205	1.048294162
206	1.040642361
207	1.039629752
208	1.036263394
209	1.035661928
210	1.034968523
211	1.027146848
212	1.019448596
213	1.016060829
214	1.008694569
215	1.004001501
216	1.003087116
217	0.9998215429
218	0.9936323705
219	0.9871378172
220	0.982653692
221	0.9821580705
222	0.975105526
223	0.9687965133
224	0.9667234673
225	0.9617270697
226	0.9563350832
227	0.9506055241
228	0.9457052602
229	0.9452660951
230	0.9403903626
231	0.9399886743
232	0.9348012579
233	0.9293689353
234	0.9289927292
235	0.9286181295
236	0.928163637
237	0.9278062762
238	0.9274538202
239	0.9232702976
240	0.9197331897
2243	1.021288401
244	1.020565894
245	1.013685205
246	1.011694006
247	1.007589522
248	1.001643143
249	0.997272912
250	0.9963392465
251	0.9951263734
252	0.9941380813
253	0.9911246741
254	0.9868666016
255	0.9850318387
256	0.9791367035
257	0.9754914759
258	0.9718277455
259	0.9691637121
260	0.9651291452
261	0.9613415127
262	0.9577568528
263	0.9539431325
264	0.9522518881
265	0.9506283758
266	0.9479941487
267	0.9453626397
268	0.9449340492
269	0.9413247036
270	0.9408023629
271	0.9391206841
272	0.9368501778
273	0.9347180083
274	0.9342640062
275	0.930920684
276	0.929021168
277	0.9265979772
278	0.9246223271
279	0.9210361119
280	0.9198935601
281	0.9176542755
282	0.9128631329
283	0.9113015489
284	0.9100948615
285	0.9073593154
286	0.9042564533
287	0.9014429371
288	0.8999966398
289	0.8976405605
290	0.8942647477
291	0.8928088635
292	0.8903708163
293	0.888296068
294	0.8861478979
295	0.8842810554
296	0.8813412646
297	0.8799844121
298	0.8773834433
299	0.8750414884
300	0.8728570971
301	0.8708832734
302	0.868167967
303	0.8663250439
304	0.8651503077
305	0.8634636149
306	0.8611562938
307	0.8573313094
308	0.856830719
309	0.8516017496
310	0.8480451065
311	0.8444923666
312	0.8419111675
313	0.838237849
314	0.8336419705
315	0.829771832
316	0.8266152737
317	0.823454069
318	0.8205227099
319	0.8189484767
320	0.8163736074
321	0.8121855959
322	0.8098992414
323	0.8069472843
324	0.8061758295
325	0.8038198269
326	0.8004691978
327	0.7986528481
328	0.7967291427
329	0.7939647065
330	0.7895377502
331	0.7859042594
332	0.7840781403
333	0.7813818157
334	0.7780240358
335	0.7742800319
336	0.7706070322
337	0.7685795665
338	0.7649599914
339	0.7635181212
340	0.7615949082
341	0.758331469
342	0.755748522
343	0.7517800281
344	0.7494521057
345	0.7462478904
346	0.745442945
347	0.7437789549
348	0.7401741619
349	0.7374766752
350	0.7349686238
351	0.7327600419
352	0.7298127591
353	0.7262546112
354	0.7247595551
355	0.7216913926
356	0.720657527
357	0.7194320916
358	0.7175833755
359	0.7145286645
360	0.7113271724
361	0.7085884497
362	0.7061331271
363	0.7052141908
364	0.7041557237
365	0.7012078467
366	0.6996130029
367	0.6966793136
368	0.6944378209
369	0.6926637207
370	0.690729617
371	0.6881513263
372	0.6854800086
373	0.6832565725
374	0.6822621741
375	0.6813177921
376	0.6805680444
377	0.678667012
378	0.6756713883
379	0.6740101433
380	0.6737387031
381	0.6710181231
382	0.670094617
383	0.669220484
384	0.6669332865
385	0.665646113
386	0.6639036004
387	0.6618671545
388	0.659453367
389	0.659046054
390	0.6564169702
391	0.6560542517
392	0.6549732254
393	0.6539354807
394	0.6526323148
395	0.6505684998
396	0.6494514267
397	0.6481244602
398	0.6462635036
399	0.6435183516
400	0.641754395
401	0.6393967758
402	0.6375158375
403	0.635049039
404	0.6336264173
405	0.6313550813
406	0.6297319489
407	0.6273724331
408	0.6271151078
409	0.6263124168
410	0.62607875
411	0.6251510771
412	0.6232144803
413	0.6211203296
414	0.6208669666
415	0.6194893022
416	0.6188327973
417	0.6183808673
418	0.6181195316
419	0.6172788202
420	0.6158728598
421	0.6147129473
422	0.6129484091
423	0.610824437
424	0.6091384915
425	0.6081338262
426	0.6063243348
427	0.6056048333
428	0.6045673485
429	0.6033063602
430	0.6011077319
431	0.6003441952
432	0.5989500601
433	0.5969671655
434	0.594991489
435	0.593314547
436	0.5920907861
437	0.5897807528
438	0.5891527353
439	0.5880777907
440	0.5865603687
441	0.5853121689
442	0.5831953534
443	0.5821436124
444	0.5798613291
445	0.5785092714
446	0.5763441631
447	0.575970118
448	0.5740487073
449	0.5726637006
450	0.5714112671
451	0.5694563849
452	0.5675810062
453	0.5673467513
454	0.5670407984
455	0.5664541275
456	0.5652200555
457	0.5637710905
458	0.5619894284
459	0.5604973324
460	0.5588821006
461	0.5580069974
462	0.5570726892
463	0.5564405283
464	0.5550806639
465	0.5532109071
466	0.5529445866
467	0.5518277116
468	0.5507984401
469	0.5486054542
470	0.5474374662
471	0.5464722804
472	0.5462542277
473	0.5446298679
474	0.543040388
475	0.5414170679
476	0.5400118934
477	0.5387717005
478	0.5370507955
479	0.5359192018
480	0.5337700971
481	0.5327196056
482	0.5319007506
483	0.531216539
484	0.529893537
485	0.5290429315
486	0.5277336044
487	0.5266256862
488	0.5253883357
489	0.5241493775
490	0.5233981608
491	0.5218486518
492	0.5216039093
493	0.520610983
494	0.5194359029
495	0.517469436
496	0.516024303
497	0.5142076448
498	0.5123154575
499	0.5113519649
500	0.510289244
501	0.5091098065
502	0.5074973803
503	0.5056788973
504	0.5046260894
505	0.5035136179
506	0.5020660894
507	0.5016338681
508	0.5006754293
509	0.4993861838
510	0.4988076225
511	0.4975310321
512	0.4963284576
513	0.4953393543
514	0.4944974082
515	0.4935342145
516	0.4923457038
517	0.4915652759
518	0.4907898912
519	0.4902342012
520	0.4890146894
521	0.4886256025
522	0.4872490317
523	0.486408878
524	0.4851974292
525	0.4845357756
526	0.4831942181
527	0.482082083
528	0.4811219618
529	0.479837988
530	0.478656407
531	0.477119566
532	0.4756003562
533	0.4741118074
534	0.4730466115
535	0.4722666139
536	0.4711943581
537	0.4701631235
538	0.4689122439
539	0.4668926893
540	0.4660741363
541	0.4657031966
542	0.4654277293
543	0.4652400615
544	0.464537059
545	0.4637929972
546	0.463095007
547	0.4627951872
548	0.4618931671
549	0.4609376144
550	0.4606306987
551	0.4591475913
552	0.4577795612
553	0.4569223393
554	0.4560437388
555	0.4549186996
556	0.4531521901
557	0.4521363416
558	0.4502650503
559	0.4492669354
560	0.448495233
561	0.4475282706
562	0.4468810648
563	0.4457929056
564	0.4446493976
565	0.4439903645
566	0.4427589481
567	0.4426098734
568	0.4417222491
569	0.4412704532
570	0.4402007367
571	0.4396022949
572	0.4388994619
573	0.4386708565
574	0.437941679
575	0.4372497699
576	0.4365523058
577	0.4362572834
578	0.4354429201
579	0.4346878604
580	0.4334911401
581	0.4328279015
582	0.4323846559
583	0.4316626836
584	0.4306098721
585	0.429926201
586	0.4290302268
587	0.4279880008
588	0.427220943
589	0.426138786
590	0.4256931538
591	0.425373591
592	0.4246646729
593	0.4240560241
594	0.4232233666
595	0.4228896532
596	0.4220431279
597	0.4212123819
598	0.4207075096
599	0.4200655429
600	0.418872186
601	0.4184240769
602	0.4171904746
603	0.4168656239
604	0.4157076833
605	0.4147791179
606	0.4140621882
607	0.4133083456
608	0.4123143942
609	0.4117078284
610	0.4107725066
611	0.4104390828
612	0.4097662065
613	0.4094068764
614	0.4089479759
615	0.4079875278
616	0.4066210576
617	0.405781051
618	0.4046081476
619	0.4036329421
620	0.4031133102
621	0.4023218979
622	0.4016131314
623	0.4013295553
624	0.4002742503
625	0.3995643924
626	0.3982516837
627	0.3972524588
628	0.3964184899
629	0.395956518
630	0.3955140474
631	0.3950624726
632	0.3943359056
633	0.3937659316
634	0.3931571965
635	0.3920320472
636	0.391251204
637	0.3906997969
638	0.3902909182
639	0.389792934
640	0.3896098155
641	0.3891048423
642	0.3887150307
643	0.3882196431
644	0.3876391922
645	0.3870609009
646	0.386943622
647	0.3858207813
648	0.3850532813
649	0.3847445262
650	0.3838345607
651	0.3837487553
652	0.3833895581
653	0.3828576386
654	0.3821167672
655	0.3813944332
656	0.3811467017
657	0.3803325748
658	0.3793389362
659	0.378754028
660	0.3774461561
661	0.3772324185
662	0.3763666675
663	0.3758656557
664	0.3751061196
665	0.3747350932
666	0.3743756066
667	0.3736542544
668	0.3730402417
669	0.3726366519
670	0.3717532993
671	0.3709767365
672	0.3702799046
673	0.369939412
674	0.3693385353
675	0.3683888555
676	0.3675700038
677	0.3669154795
678	0.3664049219
679	0.3657033117
680	0.3651413325
681	0.3646232075
682	0.3640411346
683	0.3636600417
684	0.3630123934
685	0.3625951811
686	0.361873489
687	0.3610945942
688	0.3609499904
689	0.3605087235
690	0.3599603698
691	0.3597989076
692	0.3593610395
693	0.3587804583
694	0.3580008552
695	0.3573049227
696	0.3566203628
697	0.3558493432
698	0.3554112198
699	0.3548740224
700	0.3546252974
701	0.3536411826
702	0.3528413709
703	0.3525332154
704	0.3515033818
705	0.3514058704
706	0.3505641874
707	0.3502416784
708	0.3495932198
709	0.3492196569
710	0.3487605652
711	0.3480990441
712	0.3473589036
713	0.3472321121
714	0.3463297155
715	0.3459784726
716	0.3455685932
717	0.3454323136
718	0.3449829924
719	0.3445352935
720	0.3434431512
721	0.3430527279
722	0.3425646613
723	0.3421994516
724	0.3417957528
725	0.341308461
726	0.3410853803
727	0.3399363371
728	0.3391285597
729	0.3383683193
730	0.3378617657
731	0.3373089452
732	0.3368508769
733	0.3360877475
734	0.335555767
735	0.3348847017
736	0.3344840717
737	0.3338433335
738	0.3330730693
739	0.3328281192
740	0.3322699505
741	0.3320509166
742	0.3314831149
743	0.3311115376
744	0.3306726044
745	0.3303234894
746	0.3298903146
747	0.3291921877
748	0.3286549177
749	0.3283658654
750	0.3275777617
751	0.327027669
752	0.3264333994
753	0.3260479717
754	0.3258904423
755	0.3255166511
756	0.3249672681
757	0.3244922813
758	0.323959486
759	0.3235467728
760	0.3230795318
761	0.3227072323
762	0.3225867189
763	0.3220223806
764	0.3214344149
765	0.3210597716
766	0.3204391335
767	0.3201793022
768	0.3199835516
769	0.3194252635
770	0.3189609677
771	0.3183995044
772	0.3182551215
773	0.3177752848
774	0.3172722647
775	0.3167725347
776	0.3162542312
777	0.3159982872
778	0.3157747191
779	0.3152554696
780	0.3147756776
781	0.314732598
782	0.3141058696
783	0.3137659737
784	0.3134538831
785	0.3126800556
786	0.3121675695
787	0.3114237546
788	0.3107010791
789	0.3098568288
790	0.3095885665
791	0.3092434341
792	0.308714319
793	0.3078757569
794	0.3074795627
795	0.3072299667
796	0.3066826044
797	0.3062323046
798	0.3057714099
799	0.3052052
800	0.3051515926
801	0.3047265586
802	0.3044897163
803	0.3039976439
804	0.3038197469
805	0.3035024262
806	0.3032191361
807	0.302972892
808	0.3026703829
809	0.3020506207
810	0.301518668
811	0.3010812549
812	0.3006932484
813	0.3004330124
814	0.3000335566
815	0.2994329272
816	0.2989936113
817	0.2985261046
818	0.2983249028
819	0.2974560568
820	0.2970230939
821	0.2965718212
822	0.2962768441
823	0.2958559976
824	0.2955380818
825	0.2951534196
826	0.2949363013
827	0.2947465728
828	0.2943152247
829	0.2938056378
830	0.2934300629
831	0.2929247004
832	0.292393477
833	0.2921355589
834	0.2917776478
835	0.2914448152
836	0.2913650386
837	0.2912351941
838	0.2907474575
839	0.2902838207
840	0.2899769521
841	0.2894797021
842	0.2889456445
843	0.2881252898
844	0.287926398
845	0.2872598111
846	0.2868614773
847	0.2864108404
848	0.285644726
849	0.285299901
850	0.2845903469
851	0.2842180341
852	0.2835866093
853	0.2829108876
854	0.2828878626
855	0.2825903557
856	0.2821326324
857	0.2820786647
858	0.282029235
859	0.2813756868
860	0.2811237774
861	0.2805889436
862	0.2796748627
863	0.2793165013
864	0.2790440373
865	0.278517803
866	0.2784190696
867	0.2781457469
868	0.2778023541
869	0.2772138808
870	0.2769989541
871	0.2765006084
872	0.2760135842
873	0.2756867061
874	0.275667149
875	0.2753893892
876	0.2749099324
877	0.2746752029
878	0.2746254759
879	0.2742214892
880	0.2740422255
881	0.2736313025
882	0.2732038539
883	0.2727121563
884	0.272246002
885	0.272175259
886	0.2716005768
887	0.2712316379
888	0.2709157958
889	0.2707100878
890	0.2701820153
891	0.269546405
892	0.2694146532
893	0.2692752178
894	0.2688057598
895	0.2682946274
896	0.2677689403
897	0.2671758064
898	0.2668738516
899	0.2666999345
900	0.2662313097
901	0.265833332
902	0.2653966029
903	0.2651692802
904	0.2646444908
905	0.2644012838
906	0.2640547293
907	0.2635492847
908	0.2633346063
909	0.2630660897
910	0.2627938476
911	0.2622290351
912	0.2618789467
913	0.2616971522
914	0.2613003862
915	0.2606946485
916	0.2602982235
917	0.2599709348
918	0.2596894119
919	0.2589794995
920	0.2586774809
921	0.2583293514
922	0.2578748207
923	0.2570624943
924	0.2567382034
925	0.2562793646
926	0.2559105169
927	0.2554619515
928	0.2551739062
929	0.255111265
930	0.2549838044
931	0.2546093114
932	0.2543591769
933	0.2541229552
934	0.2537939734
935	0.2536254854
936	0.2534028308
937	0.2530077977
938	0.2524680671
939	0.2522733108
940	0.252061041
941	0.2517400947
942	0.2514279947
943	0.2509998657
944	0.2506329946
945	0.250335472
946	0.2501388726
947	0.2499409728
948	0.2495952493
949	0.2492322329
950	0.2489572809
951	0.2487345624
952	0.2482623621
953	0.2480468898
954	0.2478270789
955	0.2474581713
956	0.2473901053
957	0.2470609834
958	0.2466665465
959	0.2462218353
960	0.2460337545
961	0.2457890092
962	0.2455782305
963	0.2454057097
964	0.2452095067
965	0.2450466638
966	0.2447378881
967	0.2443986154
968	0.2442126021
969	0.2440349402
970	0.2437598697
971	0.2434094745
972	0.2430731519
973	0.2426785322
974	0.2424327711
975	0.2420658645
976	0.2418597392
977	0.2415858751
978	0.2409140139
979	0.2406166397
980	0.2403889997
981	0.2399051938
982	0.2392974561
983	0.2390801324
984	0.2386850088
985	0.2384898061
986	0.2382181581
987	0.2381639782
988	0.2377670454
989	0.2374979992
990	0.2370413766
991	0.236752526
992	0.236492447
993	0.2362197745
994	0.2355565052
995	0.2352907108
996	0.2351225868
997	0.2346796009
998	0.234608483
999	0.2341789802
998270285
998	0.1995915867
999	0.1992528904
